,gene,gene_number,x,y
0,Laptm4a,76,668.4461100461411,1351.0127763059957
1,Aebp1,4,668.7695652792452,1351.1381461599597
2,Spp1,214,667.7175704687501,1350.1353422817758
3,negative_control,1282,667.4475606270839,1350.538975944096
4,negative_control,972,684.8278594182782,1359.084552457573
5,Vat1,259,687.8514748507948,1367.0173095560197
6,Tpm4,239,689.1002375755597,1367.9825844739212
7,Timp2,229,692.1480588560579,1356.508848574565
8,Il1rl1,69,691.3146949836843,1357.3891670620555
9,Vim,261,691.9706377794673,1352.3897154796396
10,Ncl,121,693.9645601548375,1352.4276852116586
11,Actn4,3,693.7895725115593,1352.2260425872985
12,Zfp36l1,269,694.24975058069,1353.573761861761
13,negative_control,1841,693.80940339385,1352.2741055877968
14,negative_control,1068,694.9084929122067,1352.2192011844909
15,Spp1,214,701.2400749948456,1365.3620045415569
16,Vim,261,703.1386548373231,1358.8030692551213
17,negative_control,1585,703.1278956148662,1358.7543208633822
18,Gsto1,54,703.6140268301947,1358.3839251129396
19,Skp1a,207,705.9451420064139,1364.2264565004252
20,Txn2,248,715.3979197574258,1364.2659882679045
21,negative_control,1390,716.3547388785048,1357.5787634362823
22,Vim,261,715.3141764146726,1357.402887411881
23,Top2a,236,716.3241628610543,1358.0337835511896
24,negative_control,693,716.3467762402753,1357.5591652946955
25,Csnk1a1,22,720.9649042350383,1364.0378716044297
26,negative_control,1389,721.0716937452372,1363.9270757100226
27,Taldo1,223,725.6348557719568,1361.8517105904584
28,Vim,261,725.8168289915448,1361.1576088547945
29,negative_control,657,727.2660741499228,1365.0237044395622
30,Maged1,82,728.1251711832715,1363.8285199858633
31,negative_control,1936,726.4837369641979,1363.960553022276
32,negative_control,1769,726.8260544627525,1362.9524280903297
33,negative_control,313,727.606833440984,1363.6558770918864
34,Fgf7,43,735.2237689220212,1352.8613646497083
35,negative_control,1746,735.8906671793893,1351.9346249149617
36,negative_control,530,735.1817003560009,1352.1501184039578
37,Rcc2,183,734.944802800625,1350.1320324144308
38,Oaf,133,736.303009397203,1352.0159388512816
39,negative_control,1438,736.7926025437866,1351.0532990927445
40,Ctbp1,24,738.902612200133,1357.3748930795446
41,Fbln2,42,738.5498827258526,1357.53681356253
42,Zfp36l1,269,739.1090398658108,1358.0215893772418
43,Zfp36l1,269,742.2415414313398,1366.3631351225206
44,Maged1,82,750.4621883673633,1359.9844117882956
45,Sdc4,202,749.086681415632,1360.0670706296924
46,Rps6ka3,193,749.7201693124207,1366.1880995976594
47,negative_control,764,749.5600791174037,1367.043314253582
48,Eif4g2,38,750.8799323681075,1368.072733664476
49,Emp1,39,748.4371628828877,1366.241674661488
50,Spp1,214,750.9249000790224,1368.039121041335
51,negative_control,711,749.5574087268888,1365.8908361496694
52,Spp1,214,752.9566162590787,1376.05828546564
53,Ppm1g,150,758.7413039440244,1346.0870690048414
54,negative_control,1889,758.7936273597918,1359.3679828171494
55,Ppm1g,150,762.6787472376269,1367.8129160421454
56,negative_control,674,761.8329349604048,1367.94515764584
57,Vim,261,760.026375758711,1363.9853828003415
58,Ssr2,217,759.1869079020502,1365.9847753825393
59,Vim,261,759.4246213908033,1367.749669787333
60,negative_control,1872,760.705086672308,1367.060246487852
61,negative_control,1255,761.3236312791705,1366.9887181408374
62,Timp2,229,760.0972859930353,1366.3080368232918
63,negative_control,1303,760.748276756036,1365.6914531547195
64,negative_control,1138,764.456602117782,1370.9596392949536
65,Lamp1,74,763.797919204491,1345.1459367928087
66,negative_control,1967,764.4117711255457,1345.665493114389
67,Eef1g,28,777.3637419102183,1337.403156758568
68,Trp53,242,778.5912956144243,1336.7050110756704
69,negative_control,1121,778.8869873102288,1337.4080302331483
70,negative_control,1536,779.7717333572937,1338.1388404459608
71,Spp1,214,779.8379454820185,1373.72453994227
72,Spp1,214,779.8456586761363,1365.8389355031431
73,Tpm4,239,781.7205356087175,1366.529713749028
74,Mtap,114,783.6309449896243,1385.2563386214051
75,negative_control,344,784.2720028939673,1384.5647421541833
76,Ugdh,255,784.7797042358516,1384.8911164541892
77,Tbrg1,225,786.3909727654404,1367.3766345673514
78,Tpm4,239,786.9157249045079,1367.928957412904
79,negative_control,1861,786.2401244669345,1367.3216586776257
80,Nucb1,131,785.825031512017,1367.5276209169083
81,Hnrnpul1,60,786.4635381825481,1366.2966271366968
82,negative_control,1645,793.9062263358583,1384.0250022726802
83,negative_control,403,797.6967010283661,1361.799920496967
84,negative_control,1282,798.2891400903574,1362.0106306141151
85,negative_control,524,801.9764756820283,1362.06686778658
86,negative_control,517,802.8733259296189,1362.757844749844
87,Fxr1,48,802.5833965997472,1364.2364585133018
88,negative_control,907,800.9768021307807,1362.8368025495956
89,negative_control,2097,802.260430682497,1363.0329436968382
90,Spp1,214,806.2565999539104,1357.2505977286307
91,negative_control,1695,806.3676238357266,1356.9471118942834
92,Rps15a,191,804.8973169071122,1358.4900817859125
93,negative_control,1160,811.9439847684652,1336.0045872822195
