,gene,gene_number,x,y
0,Ltbp3,80,819.515102198554,1682.9396795584782
1,Spp1,214,822.4629799794507,1667.104075050992
2,Ppm1g,150,825.5032734048743,1647.685997780612
3,Spp1,214,827.0639223678742,1705.1746247680976
4,Il1rl1,69,828.3479793271645,1663.8798325276348
5,Vim,261,828.622440471632,1663.6469928062556
6,Rbbp7,181,828.1212546403569,1662.4875190403898
7,Khdrbs1,73,828.6115920519891,1663.110828712385
8,Arpc5,8,829.212056792032,1621.7774460796795
9,Mvd,116,830.040157741502,1696.052761669811
10,Spp1,214,830.120579358695,1641.9109532136415
11,Mvd,116,832.7645341216551,1630.8737368054065
12,Spp1,214,833.6169112035559,1621.430295446803
13,Spp1,214,835.0016384356304,1719.7044348385234
14,Khdrbs1,73,840.8566075891652,1684.0227672504311
15,Ran,178,842.2926959251515,1629.9259410153384
16,Vim,261,842.0582398811312,1630.8042131323923
17,Raly,177,842.0063358984362,1630.2905347078677
18,Ltbp3,80,852.1194595221077,1606.115537929913
19,Tpm4,239,852.1881238678162,1711.5068242206678
20,Sfpq,206,851.9383425930051,1596.4600545712738
21,Ppm1g,150,853.771106597962,1596.4735101302056
22,Malat1,83,854.0277042510995,1596.0417649825886
23,Ctsb,25,853.6212566678844,1595.2785529567798
24,Ltbp3,80,856.8424743534752,1652.0216107018
25,Il1rl1,69,856.6487804115634,1652.2015722838578
26,Spp1,214,856.391912348543,1676.1681909861331
27,Spp1,214,859.9412299267719,1591.8933574564503
28,Spp1,214,860.6524409978631,1629.3132962675872
29,Vim,261,861.3985542939356,1629.2104929932798
30,Spp1,214,861.0988283004842,1729.8562707789893
31,Zfp36l1,269,869.0290932947505,1661.6390839712465
32,Arpc5,8,869.8912182378007,1720.4664310579496
33,Ywhah,266,871.5009846408115,1660.297621328368
34,Eif4b,37,874.7317750280578,1628.012576894092
35,Fbln2,42,873.6574923153216,1628.9427332769155
36,Khdrbs1,73,875.8645707600681,1734.958986084646
37,Spp1,214,880.007664947952,1619.7860341323076
38,Mvd,116,880.6236389119066,1599.6369639241047
39,Spp1,214,886.2317619812914,1635.2311012767173
40,Cops7a,17,889.7058339152402,1641.2061187951117
41,Spp1,214,892.6606002831159,1682.094880663428
42,Zfp36l1,269,894.5683481002496,1720.120105407517
43,Fkbp9,46,893.6566019465424,1720.2625870931697
44,Ppm1g,150,898.2913842799685,1587.9297842806145
45,Spp1,214,898.7071033041422,1623.0359946443152
46,Rrp1,198,902.0854354955928,1662.5318907532892
47,Sec13,204,902.1615223973596,1662.9566324121402
48,Khdrbs1,73,903.5513970742472,1662.465922848982
49,Spp1,214,904.2636763492908,1722.49106866592
50,Spp1,214,906.2411585962764,1586.9425075208414
51,Spp1,214,907.2335453643292,1620.581232395963
52,Spp1,214,908.8623746152784,1710.7760682533367
53,Rarg,179,911.1537848608364,1707.8224564431937
54,Tpm4,239,911.244381326272,1594.3255675154326
55,Spp1,214,915.286940136978,1725.8363270700456
56,Il1rl1,69,915.6253317015831,1735.970192474347
57,Spp1,214,920.6076277324426,1656.0845612870062
58,Zfp36l1,269,922.6921101096418,1647.9317070850448
59,Ltbp3,80,923.3588155427484,1676.463394363554
60,Spp1,214,926.5839776549316,1652.8099130708383
61,Spp1,214,928.0200571231704,1705.6113260380534
62,Zfp36l1,269,928.8744503779948,1688.012636180425
63,Prrc2a,158,929.8223174813425,1710.7868544696912
64,Cops7a,17,930.7820099683088,1692.7030978227126
65,Zfp36l1,269,938.065326350387,1648.965943718981
66,Tpm4,239,941.068606581379,1700.3452785225911
67,Ltbp3,80,941.8299215080414,1731.9599245695074
68,Vim,261,945.23569687395,1680.3892868256655
69,Ppm1g,150,943.8169598174655,1679.1402507352088
70,Prrc2a,158,942.7869247968896,1632.5709734016295
71,Gas1,50,942.5546343387228,1633.049975286364
72,Zfp36l2,270,943.253269568056,1631.034672629076
73,Ltbp3,80,943.6714455138653,1721.395672187224
74,Spp1,214,945.4556532942336,1673.3766150194974
75,Rarg,179,947.0571776047268,1690.4167685341388
76,Spp1,214,954.2564485308204,1631.060218307017
77,Ybx1,263,955.2368499811578,1630.361843061227
78,Hdgf,56,955.3659094400502,1629.9130818156414
79,Malat1,83,955.1639768603428,1630.7267718258
80,Zfp36l1,269,956.0493215240184,1737.7123700422196
81,Spp1,214,955.445207232778,1661.7108743633266
82,Spp1,214,955.6847888629898,1715.1396787315134
83,Ppm1g,150,959.267545579016,1628.6849249076963
84,Ltbp3,80,963.6914034244268,1692.579127860517
85,Arpc5,8,965.1519535852668,1717.4274912521548
86,Spp1,214,969.8506934081092,1620.7044868377998
87,Mvd,116,969.4522801202512,1669.7424386849164
88,Spp1,214,976.2476534859228,1635.0686136945617
89,Cops7a,17,978.9189183704495,1697.4334460646032
90,Spp1,214,982.4642165675148,1701.4351603742173
91,Spp1,214,982.876620583378,1663.2314911531894
92,Rarg,179,983.148958516809,1730.3908185712455
93,Tpm4,239,987.7195612081736,1671.81809235548
94,Cops7a,17,990.6795057845644,1583.9516934760825
95,Spp1,214,994.7498729850448,1645.2874697571135
96,Il1rl1,69,995.5318817806854,1617.4823898705831
97,Khdrbs1,73,997.1100026097586,1731.5922338763594
98,Fus,47,1004.3127615061248,1662.8526084825223
99,Spp1,214,1006.6363214620536,1684.604367271911
100,Rac1,175,1011.4236149861434,1703.4871612433867
101,Malat1,83,1011.8226009025324,1703.3104977696682
102,Msn,112,1011.1901435407634,1703.6325684143162
103,Zfp36l2,270,1009.9658818212029,1622.875599504688
104,Ppm1g,150,1011.3863948700422,1621.3149859720525
105,Rarg,179,1015.3877997944504,1600.0270480453803
106,Rpsa,197,1015.8850494551236,1607.7071658426246
107,Sfpq,206,1016.5860154640582,1708.63233842082
108,Cops7a,17,1017.8229030315638,1707.562328252859
109,Ppm1g,150,1018.5105393487972,1703.3487004501822
110,Rab7,174,1021.749212068274,1623.7271176748436
111,Ppm1g,150,1023.9632810407182,1633.1496756800277
112,Ltbp3,80,1029.3623178628584,1672.932494390004
113,Ltbp3,80,1028.951726015131,1649.1672334669252
114,Mrfap1,89,1061.5626260192162,1627.6197167981352
115,Cops7a,17,1071.0276526171117,1633.5736130404714
116,Ppm1g,150,1074.3785746729604,1628.3743012467537
117,Ctsb,25,819.8181503534272,1670.3598818907865
118,Rpsa,197,822.1096013366833,1661.8229500928412
119,Psmd8,166,821.621967953075,1693.4911026270036
120,Fbln2,42,822.2398130047677,1676.7410869122618
121,Gas1,50,824.5997209648713,1681.8986408194544
122,Mrfap1,89,821.5532903781426,1683.0825203310333
123,Aebp1,4,822.7622088605344,1681.766703189035
124,Ptgs1,169,823.4357912743562,1631.3904609679562
125,Rpsa,197,822.5005904480629,1631.2529311815697
126,Rpsa,197,822.1752080018175,1656.2193708671996
127,Aebp1,4,823.1061061875525,1665.8402853765251
128,Ctsb,25,827.1650285131286,1689.3092478270055
129,Rpsa,197,828.3882657289921,1639.3470488599964
130,Aars,1,828.5920156757975,1684.2481047610854
131,Aebp1,4,828.8995004327213,1659.3149936472414
132,Rpsa,197,830.3809865046874,1694.1809015610072
133,Pcdhgc3,138,830.726172525517,1667.7608457937636
134,Psmd2,163,831.0861503164183,1699.516656946574
135,Rpsa,197,832.5251893325974,1681.2484731455406
136,Vim,261,834.792184467904,1672.2074499824937
137,Maged1,82,835.4513745682146,1670.487872550282
138,Slc38a2,209,834.6081080297839,1677.6529697943145
139,Psmd8,166,834.7927139453907,1678.0186162571565
140,Rpsa,197,838.3632354276547,1716.412299696069
141,Aebp1,4,839.2337599386071,1723.2475115171171
142,Aebp1,4,839.5814496944436,1649.056336431088
143,Rpsa,197,839.9469506244507,1615.37062654301
144,Aebp1,4,839.6316412986323,1639.5148428803209
145,Hnrnpk,59,841.3507029037441,1639.36823430944
146,Vat1,259,840.3583681362016,1661.4267347302905
147,Rpsa,197,843.4530655054502,1680.0683195386428
148,Rpsa,197,845.6987977553008,1701.724855725488
149,Rpsa,197,846.6096578884791,1651.9250708897134
150,Rpsa,197,845.4699034273704,1636.0901776792748
151,Rpsa,197,846.3676765000189,1621.0835681421845
152,Rpsa,197,846.8255590665182,1726.952917090237
153,Rpsa,197,847.466572607749,1672.3429453444603
154,Rpsa,197,848.6357081319394,1713.9001267806452
155,Rpsa,197,848.9268857427755,1602.2678267043557
156,Ctsb,25,849.9108853645487,1638.303327453084
157,Rpsa,197,851.5388574985373,1708.095069813657
158,Rpsa,197,852.426068926303,1616.870405188518
159,Rpsa,197,853.3385812704201,1683.6773459752928
160,Rpsa,197,852.9965881440442,1645.8438724058976
161,Rpsa,197,853.655882408388,1650.11866446388
162,Aebp1,4,853.3339350838492,1655.379035398683
163,Rpsa,197,855.8649920846008,1731.490542563158
164,Rpsa,197,856.2666073429176,1602.9049219680633
165,Fbln2,42,856.2768737603457,1697.2058885769725
166,Psap,160,856.7884749983643,1696.7429739996037
167,Fbln2,42,856.4007941966025,1635.058518150018
168,Rpsa,197,858.38257524811,1677.468450293209
169,Rpsa,197,858.1921140560173,1726.646468281764
170,Fbln2,42,859.4122512684874,1633.3415012432156
171,Rpsa,197,862.6268422402866,1611.798385295842
172,Fbln2,42,862.1966107774667,1701.5504100091475
173,Ptbp1,167,863.2840330760419,1598.1451205764106
174,Tspan3,245,863.2524427140158,1598.7339694421903
175,Timp2,229,862.7067157007932,1598.859966789797
176,Ctsb,25,863.8258814135454,1696.1995384315971
177,Aebp1,4,864.3132801460683,1679.6892477758968
178,Rpsa,197,864.9502411587066,1659.99302755826
179,Ctsb,25,864.7221900565776,1704.3329247164777
180,Rpsa,197,867.4204151607964,1731.733771284893
181,Csf1,21,868.4369163990366,1610.6410482218234
