,Estimated FDR,Sensitivity relative to smFISH
0,0.019906748799305967,0.07898278436561298
1,0.023402131814001345,0.1683072368013769
2,0.03153508343003759,0.2819878440012948
3,0.04084300221107964,0.3872952271517649
4,0.05047588312140813,0.4760813110633913
5,0.060318460648050916,0.5536674226788385
6,0.07019050715347941,0.6263334387967578
7,0.08014116910877038,0.68384926632448
8,0.09008692553382357,0.7399903615722099
9,0.10013962849112368,0.7851866928218055
10,0.1100548288732151,0.8300822784994424
11,0.12005403446185561,0.8679252564942642
12,0.1300642703302644,0.9040838151134797
13,0.1400007704295306,0.9362882692784792
14,0.15005169664889959,0.9661127866022189
15,0.1600558961397914,0.9935248896778506
16,0.1699946538874083,1.0180222029310333
17,0.18002798550438262,1.0413930133840292
18,0.18999294470183978,1.0625130103253833
19,0.19995323020363032,1.0825691738255514
