,hyb,x,y,z,x_SE,y_SE,z_SE,n_matches
0,0,4.687449822690189,3.5037205223551466,0.0,0.06816590965888288,0.02822732276640346,0.0,108
1,1,2.7936052662128636,0.7791810651183325,0.0,0.05612668486053973,0.025483454416659855,0.0,127
2,2,1.648782612398555,-0.19310639068127944,0.0,0.026715793737890344,0.020673422033738693,0.0,132
3,3,1.7121431731335914,-0.3859954528797291,0.0,0.052012110530198025,0.02169227786907631,0.0,125
4,4,1.2109651903778624,-0.7909619777101666,0.0,0.03243118536562848,0.019073394446127944,0.0,125
5,5,1.2916958831256082,-1.4647671531085704,0.0,0.01353137749859497,0.013717347000120443,0.0,115
6,6,1.2503739116768366,-1.9812431766528935,0.0,0.017290910220160945,0.013500189312661462,0.0,124
7,7,1.4157392289280248,-2.246124629142813,0.0,0.017418611606728186,0.013283923261619833,0.0,123
8,8,-0.310817868451656,-0.962955024957384,0.0,0.026402409757041688,0.016895453031717654,0.0,131
9,9,-0.1751203152281025,-1.016801772960981,0.0,0.04893733670218803,0.019212484573800714,0.0,123
10,10,1.4320328701547158,-2.625788579878942,0.0,0.026467968007787536,0.015132359759481245,0.0,123
11,11,-0.05561490155540711,-0.8718914730373506,0.0,0.01762457838295569,0.013377457532027704,0.0,133
12,12,0.09137562089503895,-0.29262928897666807,0.0,0.011180528803554877,0.012443065563200306,0.0,137
13,13,0.8167563724620338,-0.010755102017979662,0.0,0.051151202451262694,0.0157324484564212,0.0,123
14,14,0.5970600351179164,0.3937448546426366,0.0,0.029653096387384323,0.01681731819229764,0.0,133
15,15,0.6869424317322232,-0.06968789243320768,0.0,0.013205712039718882,0.00922724368621094,0.0,128
16,16,1.2420494774293533,-1.2430042123927514,0.0,0.05441127164702423,0.016395533412055206,0.0,113
17,17,0.2211620501909484,-1.2000127458943521,0.0,0.047476164907299404,0.015443877215079754,0.0,124
18,18,0.49074503457859503,-1.501173299449405,0.0,0.019808183846912835,0.012553710367701818,0.0,129
19,19,0.10104428048119567,-1.4891370947342075,0.0,0.010881407850933047,0.009376149982498553,0.0,123
20,20,0.12091318998618425,-1.6611902835292722,0.0,0.01346964623885397,0.009960713414255638,0.0,125
21,21,0.028758576830599937,-1.1524264367736703,0.0,0.0266447334959154,0.01542949593591726,0.0,129
22,22,-0.37288126894701007,-1.4256396691482653,0.0,0.010020931629396176,0.01020538202274449,0.0,117
23,23,-0.9456185287484604,-1.3004238305870217,0.0,0.03381511556894995,0.014500513466189866,0.0,128
24,24,0.2536594051393216,-0.7083923108936447,0.0,0.0468636229360666,0.014890040599361826,0.0,122
25,25,-0.24120660376009764,-0.29732099739870443,0.0,0.015834279628495606,0.011755987607276504,0.0,134
26,26,0.6511856480117513,0.31830097913513666,0.0,0.02791573494879536,0.01635503298807851,0.0,70
27,27,1.1626477028348698,0.5453812088007713,0.0,0.045381666195539905,0.014108199791091201,0.0,123
28,28,0.3319294775713618,0.04420645307523965,0.0,0.03208010880336147,0.013377613766475437,0.0,129
29,29,1.0623489436731037,0.5095434100541361,0.0,0.010788666920301128,0.007972314752210429,0.0,126
30,30,0.5890142114670239,0.42064159788984445,0.0,0.03273142219624188,0.01602805851523354,0.0,123
31,31,0.6779276651129681,0.6913937958042246,0.0,0.022858414825355656,0.015730841850440196,0.0,70
32,32,0.47602503380918987,0.7177472886238179,0.0,0.03804181075913013,0.015182497464198873,0.0,129
33,33,0.7319835008490603,0.9112464704629154,0.0,0.03697515133564338,0.01565106440534422,0.0,81
34,34,0.7218209987891363,1.486672831999543,0.0,0.0544396068388127,0.013580039998786332,0.0,120
35,35,1.3852595975445299,-1.6828027431426797,0.0,0.05527571198587742,0.014592351839170736,0.0,121
36,36,1.0452754922410774,-2.7060328728262872,0.0,0.05372968350566516,0.015050702593414168,0.0,122
37,37,0.055147777449539206,-2.625750143799045,0.0,0.02201255073784285,0.011399945216669746,0.0,127
38,38,-0.06818686036308602,-2.3430898712015176,0.0,0.046932177223756456,0.014234770658798471,0.0,123
39,39,0.8819669883049153,-3.3122630936639634,0.0,0.009953646129584373,0.009621195175922895,0.0,126
40,40,1.3834971442319133,-3.1107314361534693,0.0,0.04145390844158713,0.014899652253067011,0.0,126
41,41,0.9913738369658593,-3.601862261931444,0.0,0.048437826577153176,0.014512234916753589,0.0,122
42,42,0.033901155427425056,-2.776704552578047,0.0,0.011011330250256775,0.00829608710195418,0.0,123
43,43,-0.4303100934971838,-2.1478522750304547,0.0,0.01402872589364977,0.008600367694060338,0.0,128
44,44,0.7898829231881068,-2.9521927146741818,0.0,0.0534732808352258,0.01488556817870968,0.0,121
45,45,-0.5523421589471038,-2.392221805449174,0.0,0.033590944586825634,0.01328194135135812,0.0,129
46,46,1.1092821585680417,-4.018308515633527,0.0,0.04637406453807131,0.014150399189195847,0.0,124
47,47,0.7842646144817752,-3.6340574443209355,0.0,0.010739386033684782,0.01003354974171113,0.0,130
48,48,0.8529023524430305,-3.6795484109944674,0.0,0.011928948885085316,0.00950371333096761,0.0,124
49,49,0.2966879142328214,-3.338759436728402,0.0,0.022724205913302428,0.011407864977112707,0.0,133
50,50,0.9952821818324256,-2.992264394515851,0.0,0.04749260862365536,0.013183716612455045,0.0,121
51,51,0.18917699279670017,-1.3309593725931506,0.0,0.009362713552171794,0.0062368713789009295,0.0,126
