ref_x,ref_y,ref_z,ref_int,ref_x,ref_y,ref_z,hyb,comp_x,comp_y,comp_z,comp_int,aligned_x,aligned_y,aligned_z,ref_int,ref_ch,comp_ch
1449.9267252647794,20.00007649536214,0.0,9210.356465866187,1449.9267252647794,20.00007649536214,0.0,1,1449.2454543254555,19.83203141934978,0.0,25221.089952701088,1450.1462848221545,19.336054571230328,0.0,9210.356465866187,0,1
1801.1890431912395,103.78763375883526,0.0,3934.042229907651,1801.1890431912395,103.78763375883526,0.0,1,1800.5813028005298,103.7898960313643,0.0,10112.81778824477,1801.4821332972288,103.29391918324484,0.0,3934.042229907651,0,1
152.7025530066895,50.567884318619306,0.0,14727.241272973546,152.7025530066895,50.567884318619306,0.0,1,150.53164637562045,50.43324293486948,0.0,45839.649380627656,151.43247687231948,49.93726608675003,0.0,14727.241272973546,0,1
1068.8088318005632,55.099913612226615,0.0,6748.543785040391,1068.8088318005632,55.099913612226615,0.0,1,1067.9233895812438,54.84190363652823,0.0,20287.240521548327,1068.8242200779428,54.345926788408775,0.0,6748.543785040391,0,1
1722.787886181267,71.81940610890656,0.0,9762.707959426536,1722.787886181267,71.81940610890656,0.0,1,1722.4017541003825,71.52515171053355,0.0,37618.51025210801,1723.3025845970815,71.0291748624141,0.0,9762.707959426536,0,1
1005.15129708667,83.53807852255721,0.0,5321.16368685321,1005.15129708667,83.53807852255721,0.0,1,1004.3027400891556,83.23179506270992,0.0,17441.25730092945,1005.2035705858547,82.73581821459047,0.0,5321.16368685321,0,1
648.8651993529268,98.57809950423194,0.0,8894.171036188014,648.8651993529268,98.57809950423194,0.0,1,647.4591175201334,98.53421300231764,0.0,25665.584908054992,648.3599480168325,98.03823615419819,0.0,8894.171036188014,0,1
164.46194874440917,1916.731211556292,0.0,12704.605436326792,164.46194874440917,1916.731211556292,0.0,1,162.64097669880175,1918.167806475965,0.0,31374.113460513883,163.54180719550078,1917.6718296278457,0.0,12704.605436326792,0,1
396.0569218901144,122.49122056714354,0.0,6980.071542202285,396.0569218901144,122.49122056714354,0.0,1,394.5572038700093,122.29981994598558,0.0,23018.0150534184,395.4580343667083,121.80384309786612,0.0,6980.071542202285,0,1
1798.4439101071405,127.67090056435224,0.0,5258.792167321674,1798.4439101071405,127.67090056435224,0.0,1,1798.248435049052,127.5521419383492,0.0,13892.654118120525,1799.149265545751,127.05616509022974,0.0,5258.792167321674,0,1
732.5400520037226,134.94862415109105,0.0,6531.987683742527,732.5400520037226,134.94862415109105,0.0,1,731.2575442677529,134.67204545008238,0.0,16570.43365310415,732.158374764452,134.17606860196292,0.0,6531.987683742527,0,1
1026.6352811544366,137.4824238371276,0.0,6805.535087508795,1026.6352811544366,137.4824238371276,0.0,1,1025.7563662525504,137.27822816101778,0.0,19636.631429970155,1026.6571967492494,136.78225131289832,0.0,6805.535087508795,0,1
1067.485884420116,162.03353845475732,0.0,7985.62113001948,1067.485884420116,162.03353845475732,0.0,1,1066.5118087751584,161.83835935035407,0.0,23117.01017366057,1067.4126392718574,161.3423825022346,0.0,7985.62113001948,0,1
1496.2880952123735,180.79359365392872,0.0,6188.935990123957,1496.2880952123735,180.79359365392872,0.0,1,1495.8119335220977,180.7014707030864,0.0,20010.176370926503,1496.7127640187966,180.20549385496693,0.0,6188.935990123957,0,1
1586.2264047488366,188.44817239287107,0.0,10191.16321916797,1586.2264047488366,188.44817239287107,0.0,1,1585.753754751586,188.2371590897683,0.0,25782.07469300657,1586.654585248285,187.74118224164886,0.0,10191.16321916797,0,1
1750.0,189.98652452016125,0.0,8629.135408293121,1750.0,189.98652452016125,0.0,1,1750.0,189.652510451394,0.0,23127.410613799253,1750.900830496699,189.15653360327454,0.0,8629.135408293121,0,1
617.3659857263539,241.59351753520667,0.0,9138.092203468708,617.3659857263539,241.59351753520667,0.0,1,616.090220112723,241.50077893402664,0.0,18245.2777858814,616.9910506094221,241.0048020859072,0.0,9138.092203468708,0,1
1193.2329097390527,242.02237466795424,0.0,8302.000470735487,1193.2329097390527,242.02237466795424,0.0,1,1192.601939936961,241.8463150811972,0.0,20979.361072032163,1193.5027704336599,241.35033823307774,0.0,8302.000470735487,0,1
77.21576181143084,246.1379508732419,0.0,8559.291446392579,77.21576181143084,246.1379508732419,0.0,1,75.26071446051907,246.1653526295356,0.0,25708.053146598253,76.16154495721811,245.66937578141614,0.0,8559.291446392579,0,1
679.5201599847378,246.94358963042825,0.0,7691.144937848892,679.5201599847378,246.94358963042825,0.0,1,678.3535396615578,246.88241225856544,0.0,17557.555016296224,679.2543701582568,246.38643541044598,0.0,7691.144937848892,0,1
300.5582697490536,251.46058263483957,0.0,13787.433426901503,300.5582697490536,251.46058263483957,0.0,1,299.1696533986761,251.6019248199596,0.0,36423.62941946593,300.0704838953751,251.10594797184015,0.0,13787.433426901503,0,1
1504.1679878716564,275.2938921965438,0.0,9280.836033015405,1504.1679878716564,275.2938921965438,0.0,1,1503.831247125686,275.10547056144367,0.0,22929.386161562237,1504.732077622385,274.60949371332424,0.0,9280.836033015405,0,1
117.79062664173472,275.3037726659506,0.0,11152.097843404488,117.79062664173472,275.3037726659506,0.0,1,115.90359079222446,275.342249512281,0.0,35255.93451631938,116.8044212889235,274.8462726641616,0.0,11152.097843404488,0,1
452.5919553163623,313.2050708679971,0.0,12817.279119805253,452.5919553163623,313.2050708679971,0.0,1,450.94435468410046,313.24943909123107,0.0,29154.20082693319,451.8451851807995,312.75346224311164,0.0,12817.279119805253,0,1
193.06744677922,350.8516201886575,0.0,21195.631515285026,193.06744677922,350.8516201886575,0.0,1,191.22244975946847,351.0089668810388,0.0,56184.86476883838,192.1232802561675,350.5129900329194,0.0,21195.631515285026,0,1
1825.0920603648035,360.9423829868417,0.0,9907.914098822186,1825.0920603648035,360.9423829868417,0.0,1,1824.894246900816,360.8885046569051,0.0,28814.15315490838,1825.795077397515,360.3925278087857,0.0,9907.914098822186,0,1
122.35753087767692,365.5441170663025,0.0,11893.688668925515,122.35753087767692,365.5441170663025,0.0,1,120.45674319118856,365.660819350646,0.0,34467.158198137484,121.35757368788761,365.1648425025266,0.0,11893.688668925515,0,1
