ref_x,ref_y,ref_z,hyb,comp_x,comp_y,comp_z,comp_int,aligned_x,aligned_y,aligned_z,ref_int
1607.796561680403,4.503059971772488,0.0,0,1613.0195444015665,8.255426119320623,0.0,5709.781347725236,1608.2382533690432,4.795869164249742,0.0,17663.741054709873
1870.3573556984616,61.29460445677486,0.0,0,1875.5400517858363,65.00313178346332,0.0,8839.790614821577,1870.758760753313,61.54357482839244,0.0,13199.91946619008
1449.9267252647794,20.00007649536214,0.0,0,1455.1231144255787,23.568785788704204,0.0,12723.543469400109,1450.3418233930554,20.109228833633324,0.0,9210.356465866187
1822.9832852370575,25.40843304131205,0.0,0,1828.12654759872,29.14664541377435,0.0,8970.890032652163,1823.3452565661967,25.68708845870347,0.0,13649.242237090755
152.7025530066895,50.567884318619306,0.0,0,157.55728114890036,53.99918551311477,0.0,8533.620608947553,152.775990116377,50.53962855804389,0.0,14727.241272973546
1068.8088318005632,55.099913612226615,0.0,0,1073.0917319358296,58.52446920001365,0.0,19604.722040194505,1068.3104409033062,55.06491224494277,0.0,6748.543785040391
1722.787886181267,71.81940610890656,0.0,0,1728.219441788007,75.21141380814076,0.0,2056.1770544451915,1723.4381507554838,71.75185685306988,0.0,9762.707959426536
164.46194874440917,1916.731211556292,0.0,0,169.20401266954732,1920.446705921043,0.0,14476.918912438212,164.42272163702395,1916.9871489659722,0.0,12704.605436326792
1005.15129708667,83.53807852255721,0.0,0,1010.0655957811867,86.96596086488816,0.0,18566.464876494472,1005.2843047486633,83.50640390981728,0.0,5321.16368685321
648.8651993529268,98.57809950423194,0.0,0,654.0,102.55981322843336,0.0,15284.460532199342,649.2187089674766,99.10025627336248,0.0,8894.171036188014
396.0569218901144,122.49122056714354,0.0,0,400.6708798403858,125.21302333943518,0.0,16961.110771031235,395.8895888078624,121.7534663843643,0.0,6980.071542202285
256.327963646368,130.8495151398236,0.0,0,261.4691248910444,134.21488392966933,0.0,12937.353073990913,256.687833858521,130.75532697459846,0.0,12284.909668516892
1026.6352811544366,137.4824238371276,0.0,0,1031.6264686638797,140.87680304735088,0.0,25442.39131522736,1026.8451776313564,137.41724609228,0.0,6805.535087508795
473.0849582703513,155.64423829542173,0.0,0,477.9522046880848,159.13489220617234,0.0,18938.823159004827,473.17091365556144,155.67533525110147,0.0,8440.843549986224
1067.485884420116,162.03353845475732,0.0,0,1072.3150910329523,165.53195282167076,0.0,20066.233286876217,1067.533800000429,162.0723958665999,0.0,7985.62113001948
1496.2880952123735,180.79359365392872,0.0,0,1501.5871914255176,183.9343077527064,0.0,14814.526366887976,1496.8059003929943,180.47475079763552,0.0,6188.935990123957
1750.0,189.98652452016125,0.0,0,1755.206722160176,193.7410476997084,0.0,13985.510118269907,1750.4254311276527,190.28149074463752,0.0,8629.135408293121
617.3659857263539,241.59351753520667,0.0,0,621.9681315435305,244.94057763094148,0.0,24918.663471526903,617.1868405110071,241.4810206758706,0.0,9138.092203468708
679.5201599847378,246.94358963042825,0.0,0,684.3032943100725,250.35326190885445,0.0,22522.86983340288,679.5220032775491,246.89370495378358,0.0,7691.144937848892
482.1369629352951,248.382955055446,0.0,0,487.1292844888078,251.90698803324008,0.0,20784.62053021291,482.3479934562844,248.44743107816922,0.0,10096.829970607292
1504.1679878716564,275.2938921965438,0.0,0,1508.9473173551016,278.4738624577974,0.0,23985.51953132073,1504.1660263225783,275.01430550272653,0.0,9280.836033015405
117.79062664173472,275.3037726659506,0.0,0,123.08176458020394,278.9866832371338,0.0,8353.425789774772,118.30047354768055,275.5271262820629,0.0,11152.097843404488
452.5919553163623,313.2050708679971,0.0,0,457.41249618177255,316.76479692021155,0.0,23388.8682997028,452.6312051492492,313.3052399651407,0.0,12817.279119805253
163.74062871422953,328.60899807304463,0.0,0,168.95151241332738,332.337953532304,0.0,5325.712470431084,164.170221380804,328.87839657723316,0.0,16900.085887214005
1825.0920603648035,360.9423829868417,0.0,0,1829.8722374202223,364.2240135515261,0.0,17577.421006933084,1825.090946387699,360.76445659645526,0.0,9907.914098822186
122.35753087767692,365.5441170663025,0.0,0,128.0861879273267,369.5491780514328,0.0,3328.5895084130702,123.30489689480332,366.08962109636195,0.0,11893.688668925515
1097.2644884922945,376.4675346728899,0.0,0,1102.140931570849,379.9427351219778,0.0,54879.56906708412,1097.3596405383257,376.48317816690695,0.0,29128.595244335906
1018.0174717854026,387.5851768038904,0.0,0,1023.1378937905156,390.8808360155304,0.0,25156.6704036348,1018.3566027579922,387.42127906045954,0.0,5806.3847176618365
1662.795009902709,404.1581576789041,0.0,0,1667.438398156481,407.5518450189535,0.0,21268.67336407914,1662.6571071239578,404.0922880638826,0.0,9777.224342713664
1739.5458506404104,419.6477872802632,0.0,0,1744.0423249687535,423.0983363452174,0.0,21458.65273216232,1739.2610339362302,419.6387793901465,0.0,11153.243156487948
522.0584919342308,427.0293840503655,0.0,0,526.7606663741328,430.7472722942738,0.0,18740.71711894215,521.9793753416094,427.2877153392029,0.0,11621.66846795686
1166.5241171589023,434.2846640044306,0.0,0,1170.8949162356355,437.4595698232493,0.0,26337.193774702348,1166.1136252031122,434.00001286817843,0.0,5448.335758206882
1818.623520955188,449.9530675827828,0.0,0,1823.5663282543403,453.4005057517934,0.0,21862.266002703105,1818.785037221817,449.9409487967225,0.0,10268.142190177134
1041.3045885080778,466.6528913570825,0.0,0,1045.7143005474836,469.9100665284733,0.0,34467.263669533466,1040.9330095149603,466.4505095734024,0.0,6510.0339767839
374.3620745715274,492.5215209721872,0.0,0,377.9517630330112,495.4762641954353,0.0,12472.046629493478,373.17047200048785,492.01670724036444,0.0,20873.60015567943
1636.7488188626014,529.3192548598172,0.0,0,1641.7278751259314,532.7624445162769,0.0,22757.18182640711,1636.946584093408,529.302887561206,0.0,12590.611183619709
92.91862582620888,578.9256512245065,0.0,0,98.27247101220732,581.9886594494197,0.0,15182.987260950393,93.49117997968393,578.5291024943489,0.0,10920.34915178422
1036.9138754422736,602.3320258944965,0.0,0,1041.0470854103037,604.9441941163016,0.0,31353.8225123474,1036.2657943777804,601.4846371612307,0.0,4814.531351219334
892.3902170901978,614.6374225526279,0.0,0,896.5290302007335,617.9563758454015,0.0,29139.356164718178,891.74773916821,614.4968188903306,0.0,4192.868003961844
1250.811589144676,615.1613377380461,0.0,0,1255.3199139118362,618.3015734320475,0.0,33072.97666860471,1250.538622879313,614.8420164769766,0.0,6268.915553958153
1658.458546441797,634.3395769149319,0.0,0,1662.9886307159766,637.716507683172,0.0,25284.06343344452,1658.2073396834533,634.2569507281012,0.0,7305.825806823542
1924.042688774638,640.6238718960368,0.0,0,1928.928234242528,644.1912645661433,0.0,23635.51082148796,1924.1469432100048,640.7317076110725,0.0,14257.57438169311
1417.375662968043,641.8956566768827,0.0,0,1421.70106003214,645.0012306390539,0.0,28788.20088602673,1416.9197689996167,641.541673683983,0.0,5981.95442518732
1969.104020139656,651.3768638077456,0.0,0,1974.285050564701,655.0422043890899,0.0,10618.076345666586,1969.5037595321776,651.582647434019,0.0,14190.285345132575
1472.8887678012716,693.5948611152513,0.0,0,1477.2922876852492,697.057251496245,0.0,32181.9944231414,1472.510996652726,693.5976945411742,0.0,6520.020657517551
1339.969261130149,697.1406338108831,0.0,0,1344.1333477431726,700.3984174518398,0.0,34363.34547619297,1339.3520567106493,696.9388604967689,0.0,6324.187028193836
1745.085319812498,706.3282061418703,0.0,0,1749.9785900053794,709.6805266785392,0.0,25314.257368093626,1745.197298972856,706.2209697234683,0.0,8488.900571248056
