gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
115,α⁵,α²,α⁵,α⁶,0,0,0,0,α
116,α,α⁶,1,1,0,0,0,0,α
117,α²,1,α,α,0,0,0,0,α²
118,α⁴,α⁶,α⁵,α²,0,0,0,0,α²
119,α,α⁴,α⁴,α³,0,0,0,0,α²
120,α⁶,α³,α⁶,1,0,0,0,0,α²
121,1,α⁴,1,α,0,0,0,0,α³
122,α³,α,α²,α²,0,0,0,0,α³
123,α⁵,1,α⁶,α³,0,0,0,0,α³
124,α²,α⁵,α⁵,α⁴,0,0,0,0,α³
125,α,α⁵,α,α²,0,0,0,0,α⁴
126,α⁴,α²,α³,α³,0,0,0,0,α⁴
127,α⁶,α,1,α⁴,0,0,0,0,α⁴
128,α³,α⁶,α⁶,α⁵,0,0,0,0,α⁴
129,α²,α⁶,α²,α³,0,0,0,0,α⁵
130,α⁵,α³,α⁴,α⁴,0,0,0,0,α⁵
131,1,α²,α,α⁵,0,0,0,0,α⁵
132,α⁴,1,1,α⁶,0,0,0,0,α⁵
133,α³,1,α³,α⁴,0,0,0,0,α⁶
134,α⁶,α⁴,α⁵,α⁵,0,0,0,0,α⁶
135,α,α³,α²,α⁶,0,0,0,0,α⁶
136,α⁵,α,α,1,0,0,0,0,α⁶
137,α⁶,α²,α²,α,0,0,0,0,1
138,α⁴,α,α⁴,α⁵,0,0,0,0,1
139,1,α⁵,α⁶,α⁶,0,0,0,0,1
140,α²,α⁴,α³,1,0,0,0,0,1
141,α³,α²,α⁴,0,α,α,0,0,0
142,α²,α⁶,α²,0,α²,α,0,0,0
143,α⁴,α⁴,α,0,α⁶,α,0,0,0
144,α⁶,1,α⁵,0,1,α,0,0,0
145,1,α,α⁶,0,α,α²,0,0,0
146,α⁴,α³,α⁵,0,α²,α²,0,0,0
147,α³,1,α³,0,α³,α²,0,0,0
148,α⁵,α⁵,α²,0,1,α²,0,0,0
149,α⁶,α⁶,α³,0,α,α³,0,0,0
150,α,α²,1,0,α²,α³,0,0,0
151,α⁵,α⁴,α⁶,0,α³,α³,0,0,0
152,α⁴,α,α⁴,0,α⁴,α³,0,0,0
153,1,1,α⁴,0,α²,α⁴,0,0,0
154,α²,α³,α,0,α³,α⁴,0,0,0
155,α⁶,α⁵,1,0,α⁴,α⁴,0,0,0
156,α⁵,α²,α⁵,0,α⁵,α⁴,0,0,0
157,α,α,α⁵,0,α³,α⁵,0,0,0
158,α³,α⁴,α²,0,α⁴,α⁵,0,0,0
159,1,α⁶,α,0,α⁵,α⁵,0,0,0
160,α⁶,α³,α⁶,0,α⁶,α⁵,0,0,0
161,α²,α²,α⁶,0,α⁴,α⁶,0,0,0
162,α⁴,α⁵,α³,0,α⁵,α⁶,0,0,0
163,α,1,α²,0,α⁶,α⁶,0,0,0
164,1,α⁴,1,0,1,α⁶,0,0,0
165,α,α⁵,α,0,α,1,0,0,0
166,α³,α³,1,0,α⁵,1,0,0,0
167,α⁵,α⁶,α⁴,0,α⁶,1,0,0,0
168,α²,α,α³,0,1,1,0,0,0
169,α⁵,α⁵,α³,0,α,0,α,0,0
170,α⁶,α²,α⁶,0,α³,0,α,0,0
171,α,α⁶,α⁵,0,α⁶,0,α,0,0
172,1,α,α,0,1,0,α,0,0
173,α,α²,α²,0,α,0,α²,0,0
174,α⁶,α⁶,α⁴,0,α²,0,α²,0,0
175,1,α³,1,0,α⁴,0,α²,0,0
176,α²,1,α⁶,0,1,0,α²,0,0
177,α³,α,1,0,α,0,α³,0,0
178,α²,α³,α³,0,α²,0,α³,0,0
179,1,1,α⁵,0,α³,0,α³,0,0
180,α,α⁴,α,0,α⁵,0,α³,0,0
181,α⁴,α²,α,0,α²,0,α⁴,0,0
182,α³,α⁴,α⁴,0,α³,0,α⁴,0,0
183,α,α,α⁶,0,α⁴,0,α⁴,0,0
184,α²,α⁵,α²,0,α⁶,0,α⁴,0,0
185,α⁵,α³,α²,0,α³,0,α⁵,0,0
186,α⁴,α⁵,α⁵,0,α⁴,0,α⁵,0,0
187,α²,α²,1,0,α⁵,0,α⁵,0,0
188,α³,α⁶,α³,0,1,0,α⁵,0,0
189,α⁴,1,α⁴,0,α,0,α⁶,0,0
190,α⁶,α⁴,α³,0,α⁴,0,α⁶,0,0
191,α⁵,α⁶,α⁶,0,α⁵,0,α⁶,0,0
192,α³,α³,α,0,α⁶,0,α⁶,0,0
193,α⁵,α,α⁵,0,α²,0,1,0,0
194,1,α⁵,α⁴,0,α⁵,0,1,0,0
195,α⁶,1,1,0,α⁶,0,1,0,0
196,α⁴,α⁴,α²,0,1,0,1,0,0
197,α⁵,α²,1,0,α,0,0,α,0
198,α⁶,α⁵,α⁵,0,α³,0,0,α,0
199,α²,α³,α²,0,α⁴,0,0,α,0
200,α,α⁴,α⁶,0,α⁶,0,0,α,0
201,α⁶,α³,α,0,α²,0,0,α²,0
