gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
Ndufs2,3,3,0,0,0,0,0,2,7,0
Ndufs8,0,0,1,0,8,0,0,0,2,10
Ndufv1,0,0,2,0,1,3,0,0,0,2
Neat1,3,0,2,0,0,0,6,8,0,0
Nedd4,5,8,9,8,0,0,0,0,0,0
Nfe2l1,0,0,3,9,0,6,0,0,7,0
Npc2,10,4,0,0,0,0,0,0,8,4
Nr2f2,0,8,0,4,0,0,10,7,0,0
Nr4a1,3,0,0,4,0,0,0,4,0,6
Nucb1,0,0,7,1,0,0,8,0,0,4
Nudt9,0,0,0,8,1,6,0,0,0,6
Oaf,0,6,0,0,10,2,8,0,0,0
Oxct1,0,1,6,0,0,8,0,0,0,8
Pa2g4,4,0,8,0,2,0,0,0,3,0
Pafah1b3,0,5,8,0,0,7,0,0,0,7
Paics,0,0,1,0,1,4,8,0,0,0
Pcdhgc3,0,0,7,2,0,0,9,0,6,0
Pdha1,0,0,0,7,2,0,0,9,0,6
Pdia3,10,8,0,0,0,9,0,0,9,0
Pdia4,0,0,5,7,0,0,1,0,0,6
Pdia6,6,0,1,0,0,6,0,1,0,0
Pgrmc1,0,5,0,0,0,4,9,0,0,2
Pkm,4,4,0,0,0,0,0,10,2,0
Pla2g4a,0,0,5,0,0,0,3,10,5,0
Plin2,3,0,0,0,6,7,0,1,0,0
Plk2,0,0,0,2,6,0,4,0,0,1
Polr2e,0,3,0,1,0,5,10,0,0,0
Polr2m,0,0,9,2,10,0,7,0,0,0
Ppm1g,1,8,0,0,0,1,8,0,0,0
Ppp2r1a,0,0,6,1,0,0,6,5,0,0
Prkcsh,6,0,0,0,9,6,0,0,0,9
Prmt1,0,0,6,0,0,3,0,0,8,9
Prps1l3,8,7,7,0,0,6,0,0,0,0
Prps2,10,0,0,1,8,0,0,9,0,0
Prpsap1,0,10,0,0,1,8,0,0,9,0
Prpsap2,3,6,0,0,0,0,0,9,0,9
Prrc2a,8,0,0,5,0,1,0,9,0,0
Prrx1,2,0,0,4,0,3,0,5,0,0
Psap,0,9,0,0,0,5,3,0,0,8
Psma7,0,0,0,5,10,0,0,5,6,0
Psmc2,0,0,0,7,0,6,0,8,5,0
Psmd2,2,0,6,0,6,0,0,0,0,9
Psmd4,0,0,0,1,0,0,9,4,5,0
Psmd7,0,1,0,0,0,7,0,2,0,4
Psmd8,2,0,0,0,6,8,0,0,3,0
Ptbp1,0,2,6,0,4,0,0,1,0,0
Ptges3,5,3,0,1,0,0,0,0,0,6
Ptgs1,0,0,8,4,10,4,0,0,0,0
Ptgs2,0,5,0,0,0,0,6,0,5,7
Puf60,0,10,0,3,0,0,0,9,1,0
Rab34,3,0,0,1,0,0,0,0,5,3
Rab5c,9,0,0,0,1,7,9,0,0,0
Rab7,4,2,5,2,0,0,0,0,0,0
Rac1,8,0,4,0,0,10,7,0,0,0
Rad21,0,2,0,0,1,0,2,0,0,1
Raly,0,6,0,5,7,0,5,0,0,0
Ran,0,0,5,3,0,0,8,0,9,0
Rarg,1,4,0,0,0,0,3,0,0,5
Rars,0,7,0,0,7,0,9,5,0,0
Rbbp7,0,0,0,0,7,0,6,0,8,5
Rbm3,0,0,0,0,7,0,7,6,1,0
Rcc2,0,4,0,2,6,0,0,0,4,0
Rcn3,0,3,9,0,6,0,0,7,0,0
Rnf11,0,0,6,0,0,1,0,9,0,4
Rpl15,0,0,0,9,6,0,0,0,9,6
Rpl18a,0,10,2,8,0,0,0,0,6,0
Rpl21,8,0,0,9,3,0,0,0,5,0
Rpl4,3,0,0,0,0,8,0,3,2,0
Rpn2,8,5,0,0,0,0,7,0,6,0
Rps15a,0,10,0,0,5,0,10,0,0,5
Rps6ka2,0,2,2,0,0,0,0,0,5,1
Rps6ka3,0,0,8,0,0,0,8,0,1,6
Rps6ka6,0,1,0,1,4,8,0,0,0,0
Rps6kb1,0,0,0,0,0,0,7,9,6,9
Rps6kb2,0,1,0,0,10,3,0,0,2,0
Rpsa,2,3,0,0,0,0,0,0,6,3
Rrp1,0,1,10,0,8,0,8,0,0,0
Sae1,0,0,7,5,0,6,0,0,0,8
Sat1,0,3,8,0,0,0,0,3,6,0
Scarb1,5,0,0,5,0,8,2,0,0,0
Sdc4,0,10,5,7,5,0,0,0,0,0
Sdhc,7,0,0,10,0,0,0,9,5,0
Sec13,0,0,0,10,0,5,0,0,7,6
Sf3b2,0,0,0,1,9,0,7,7,0,0
Sfpq,0,0,4,0,5,0,3,6,0,0
Skp1a,0,0,7,0,0,4,10,0,0,3
Slc25a1,0,0,0,4,9,0,0,2,0,5
Slc38a2,7,0,6,0,8,5,0,0,0,0
Snrnp70,0,0,0,0,3,0,1,0,5,10
Snx3,8,0,0,0,9,0,0,9,0,10
Snx5,0,1,10,0,0,0,0,1,2,0
Spon2,0,0,4,0,3,0,5,0,0,2
Spp1,1,0,0,9,4,5,0,0,0,0
Srebf2,0,0,1,2,0,0,1,10,0,0
Srm,0,2,0,0,4,0,3,0,5,0
Ssr2,0,0,8,5,0,0,8,3,0,0
Ssr3,0,0,0,9,0,0,9,0,10,8
Ssrp1,0,0,4,0,0,0,4,0,6,3
St13,0,0,4,2,5,2,0,0,0,0
Stip1,0,1,3,0,0,0,2,0,0,2
Stt3a,0,0,0,0,6,5,0,4,0,4
Taldo1,8,0,10,0,0,0,0,0,5,6
Tapbp,3,10,0,0,0,0,0,0,9,10
Tbrg1,0,0,0,0,0,0,9,10,3,10
Tcf25,6,8,0,0,3,0,2,0,0,0
Tcp1,0,4,10,0,0,3,0,0,7,0
Thy1,0,0,8,0,0,0,0,7,2,2
Timp2,0,0,3,0,0,3,0,7,10,0
Tmbim6,0,0,7,0,9,5,0,0,0,7
Tmed9,0,0,0,0,6,8,8,0,0,10
Tnc,8,0,0,6,10,7,0,0,0,0
Tnfrsf1a,0,0,0,4,7,0,10,0,10,0
Tnk2,7,0,0,1,4,0,0,0,3,0
Tomm40,0,8,0,0,0,0,7,2,2,0
Top2a,0,4,0,3,0,0,10,0,0,9
Tpi1,7,0,0,0,0,0,5,0,5,9
Tpm1,4,0,0,0,0,10,0,7,0,2
Tpm4,1,1,0,0,0,0,0,8,6,0
Trap1,0,1,0,9,0,0,8,0,0,5
Trim28,0,0,0,5,3,0,0,8,0,9
Trp53,0,0,0,0,0,8,0,8,10,9
Trps1,0,10,4,2,0,0,0,2,0,0
Tsc22d1,10,6,6,0,0,2,0,0,0,0
Tspan3,2,8,0,0,0,6,0,3,0,0
Tubb5,10,0,0,0,0,4,7,0,10,0
Twist2,0,0,0,6,0,9,10,0,0,6
Txn2,0,6,5,0,0,0,0,6,1,0
U2af2,6,0,2,0,10,9,0,0,0,0
Uba1,0,0,0,0,10,9,0,0,10,1
Ube2d3,0,0,7,0,4,10,0,4,0,0
Ube2m,4,8,0,0,0,0,9,0,3,0
Ubxn1,0,8,3,0,9,0,9,0,0,0
Uck2,5,0,0,0,0,0,7,8,0,5
Ugdh,5,6,0,7,0,7,0,0,0,0
Uqcrc1,0,0,9,0,0,1,7,0,4,0
Uqcrq,6,5,0,4,0,4,0,0,0,0
Use1,0,2,0,0,1,0,0,10,3,0
Vat1,0,4,8,0,0,0,0,9,0,3
Vdac1,0,0,0,10,0,0,0,6,9,10
Vim,0,0,0,4,0,7,1,0,7,0
Xdh,0,0,0,3,0,8,9,0,8,0
Ybx1,0,0,0,0,0,3,5,0,10,10
Ywhae,0,0,0,6,0,2,0,10,9,0
Ywhag,3,9,0,6,0,0,7,0,0,0
Ywhah,0,10,0,0,10,0,5,4,0,0
Ywhaq,0,0,0,0,1,2,0,0,1,10
Ywhaz,4,0,0,0,0,7,0,4,10,0
Zfp36l1,1,2,0,0,1,10,0,0,0,0
Zfp36l2,0,0,6,0,0,0,8,1,6,0
Zyx,0,7,0,1,0,0,0,3,4,0
negative_control,0,2,3,0,8,0,0,0,7,0
negative_control,4,10,0,4,0,0,0,0,7,0
negative_control,6,0,8,5,0,0,0,0,7,0
negative_control,7,6,1,0,0,0,0,0,7,0
negative_control,0,8,6,2,0,0,0,0,7,0
negative_control,2,0,4,0,1,0,0,0,7,0
negative_control,2,0,4,0,0,2,0,4,0,0
negative_control,9,0,0,6,0,0,3,0,0,8
negative_control,9,0,0,6,2,0,0,0,7,0
negative_control,0,7,0,9,5,0,0,0,7,0
negative_control,0,7,0,9,0,0,6,2,0,0
negative_control,5,8,0,0,0,8,0,0,0,7
negative_control,5,8,0,0,7,0,0,0,7,0
negative_control,0,0,2,3,0,8,0,0,0,7
negative_control,0,0,2,3,7,0,0,0,7,0
negative_control,4,6,0,0,0,0,0,0,1,6
negative_control,10,0,3,0,0,9,0,0,0,7
negative_control,0,10,9,0,0,0,0,6,0,2
negative_control,0,10,9,0,0,10,1,0,0,0
negative_control,0,3,0,5,0,0,2,0,0,4
negative_control,0,3,0,5,0,1,0,0,7,0
negative_control,7,0,2,0,4,0,1,0,0,0
negative_control,3,4,0,0,7,0,1,0,0,0
negative_control,0,10,0,1,8,0,1,0,0,0
negative_control,5,0,0,3,0,0,0,3,0,10
negative_control,5,0,0,3,10,0,1,0,0,0
negative_control,2,6,0,4,0,0,1,0,0,0
negative_control,1,0,7,9,0,0,1,0,0,0
negative_control,5,2,1,0,0,0,1,0,0,0
negative_control,0,5,3,3,0,0,1,0,0,0
negative_control,0,7,4,0,0,0,0,7,3,0
negative_control,0,7,4,0,1,0,1,0,0,0
negative_control,0,0,6,5,0,0,0,0,6,1
negative_control,0,0,6,5,0,4,0,4,0,0
negative_control,0,0,6,5,3,0,1,0,0,0
negative_control,3,0,0,7,4,0,0,0,0,7
negative_control,3,0,0,7,0,3,0,0,7,0
negative_control,3,0,0,7,0,0,4,10,0,0
negative_control,0,4,10,0,4,0,0,0,0,7
negative_control,0,4,10,0,0,0,4,10,0,0
negative_control,0,6,0,8,5,0,0,0,0,7
negative_control,0,6,0,8,0,5,0,4,0,0
negative_control,2,2,0,0,8,0,0,0,0,7
negative_control,2,2,0,0,0,0,0,5,1,0
negative_control,4,9,0,3,0,0,0,0,0,7
negative_control,8,0,5,5,0,0,0,0,0,7
negative_control,9,6,9,0,0,0,0,0,0,7
negative_control,0,7,6,1,0,0,0,0,0,7
negative_control,4,0,1,0,1,0,0,0,0,7
negative_control,4,0,1,0,0,0,7,0,2,0
negative_control,0,0,8,6,2,0,0,0,0,7
negative_control,0,0,8,6,0,1,1,0,0,0
negative_control,0,2,0,4,0,1,0,0,0,7
negative_control,0,2,0,4,0,0,2,0,4,0
negative_control,0,1,5,0,0,6,0,4,0,0
negative_control,1,0,0,0,0,0,8,6,0,1
negative_control,1,0,0,0,1,0,0,0,5,2
negative_control,1,0,0,0,0,9,0,0,4,3
negative_control,1,0,0,0,9,0,10,0,0,3
negative_control,1,0,0,0,8,0,0,8,0,4
negative_control,1,0,0,0,7,1,0,0,0,7
negative_control,1,0,0,0,0,0,0,2,1,8
negative_control,1,0,0,0,0,10,9,0,0,10
negative_control,1,0,0,0,0,7,4,0,1,0
negative_control,1,0,0,0,0,0,6,5,3,0
negative_control,1,0,0,0,7,0,2,0,4,0
negative_control,1,0,0,0,3,4,0,0,7,0
negative_control,1,0,0,0,0,10,0,1,8,0
negative_control,1,0,0,0,5,0,0,3,10,0
negative_control,1,0,0,0,0,5,3,3,0,0
negative_control,1,0,0,0,2,6,0,4,0,0
negative_control,1,0,0,0,1,0,7,9,0,0
negative_control,1,0,0,0,5,2,1,0,0,0
negative_control,0,0,10,7,0,0,0,8,0,4
negative_control,10,0,0,4,0,0,8,0,6,0
negative_control,9,0,10,0,0,3,1,0,0,0
negative_control,0,9,0,0,8,0,0,5,0,1
negative_control,0,9,0,0,0,1,0,0,5,2
negative_control,0,9,0,0,0,8,0,7,0,3
negative_control,0,9,0,0,0,0,0,10,1,5
negative_control,0,9,0,0,0,0,2,0,9,6
negative_control,0,9,0,0,6,2,0,0,0,7
negative_control,0,9,0,0,5,0,0,0,10,8
negative_control,0,9,0,0,0,0,8,3,0,9
negative_control,0,9,0,0,10,0,9,0,0,10
negative_control,0,9,0,0,0,7,10,0,3,0
negative_control,0,9,0,0,0,9,0,8,4,0
negative_control,0,9,0,0,0,0,1,5,5,0
negative_control,0,9,0,0,7,0,8,0,6,0
negative_control,0,9,0,0,2,5,0,0,7,0
negative_control,0,9,0,0,10,0,0,1,8,0
negative_control,0,9,0,0,1,7,0,4,0,0
negative_control,0,9,0,0,9,0,10,8,0,0
negative_control,0,9,0,0,4,3,1,0,0,0
negative_control,0,0,1,8,0,0,9,0,0,10
negative_control,0,0,1,8,0,0,0,1,8,0
negative_control,10,7,0,0,0,8,0,4,0,0
negative_control,0,6,6,0,0,0,0,0,4,3
negative_control,0,5,0,7,0,0,0,10,6,0
negative_control,8,0,0,8,0,4,1,0,0,0
negative_control,3,0,8,0,0,0,7,0,0,2
negative_control,9,5,0,0,0,7,0,0,7,0
negative_control,6,0,0,1,0,9,0,4,0,0
negative_control,0,1,0,3,0,0,0,10,0,6
negative_control,0,3,1,0,0,0,9,0,10,0
negative_control,0,0,5,10,0,0,5,6,0,0
negative_control,0,8,0,10,0,6,1,0,0,0
negative_control,8,3,0,0,0,0,8,5,0,0
negative_control,4,0,0,5,0,0,0,0,3,4
negative_control,0,0,7,0,0,3,0,5,0,1
negative_control,0,0,7,0,3,0,0,7,0,3
negative_control,0,0,7,0,1,0,0,0,3,4
negative_control,0,0,7,0,0,9,0,0,2,5
negative_control,0,0,7,0,0,0,3,9,0,6
negative_control,0,0,7,0,0,0,7,0,5,8
negative_control,0,0,7,0,8,0,6,0,0,9
negative_control,0,0,7,0,0,0,0,2,10,10
negative_control,0,0,7,0,2,0,4,0,1,0
negative_control,0,0,7,0,9,0,0,6,2,0
negative_control,0,0,7,0,0,7,0,9,5,0
negative_control,0,0,7,0,0,0,2,3,7,0
negative_control,0,0,7,0,5,8,0,0,7,0
negative_control,0,0,7,0,0,8,6,2,0,0
negative_control,0,0,7,0,6,0,8,5,0,0
negative_control,0,0,7,0,7,6,1,0,0,0
negative_control,0,4,0,6,3,0,0,4,0,0
negative_control,0,8,2,0,0,0,5,0,0,5
negative_control,0,8,2,0,5,0,0,4,0,0
negative_control,2,0,0,9,0,6,0,0,0,7
negative_control,2,0,0,9,6,0,0,4,0,0
negative_control,7,1,0,0,8,0,0,4,0,0
negative_control,7,1,0,0,0,7,1,0,0,0
negative_control,8,0,6,0,0,9,0,0,7,0
negative_control,8,0,6,0,10,0,0,4,0,0
negative_control,4,0,2,6,0,0,0,4,0,0
negative_control,3,5,9,0,0,0,0,4,0,0
negative_control,9,8,0,3,0,0,0,4,0,0
negative_control,0,9,8,4,0,0,0,4,0,0
negative_control,0,0,9,1,0,0,10,0,3,0
negative_control,0,0,9,1,1,0,0,4,0,0
negative_control,5,0,5,0,0,0,0,2,9,0
negative_control,0,0,0,2,0,3,7,0,0,2
negative_control,0,0,0,2,0,0,0,10,4,2
negative_control,0,0,0,2,0,0,2,0,1,3
negative_control,0,0,0,2,0,10,0,9,0,5
negative_control,0,0,0,2,5,0,0,0,2,5
negative_control,0,0,0,2,3,7,0,0,0,7
negative_control,0,0,0,2,0,0,10,4,0,7
negative_control,0,0,0,2,10,0,0,1,0,8
negative_control,0,0,0,2,0,1,0,0,8,10
negative_control,0,0,0,2,0,8,0,7,3,0
negative_control,0,0,0,2,9,0,5,0,5,0
negative_control,0,0,0,2,10,10,0,0,7,0
negative_control,0,0,0,2,0,9,6,0,9,0
negative_control,0,0,0,2,4,0,0,2,9,0
negative_control,0,0,0,2,0,0,7,8,10,0
negative_control,0,0,0,2,7,0,3,3,0,0
negative_control,0,0,0,2,9,1,0,4,0,0
negative_control,0,0,0,2,0,2,8,5,0,0
negative_control,0,0,0,2,1,8,1,0,0,0
negative_control,7,0,9,0,0,6,2,0,0,0
negative_control,0,7,0,0,0,0,4,0,7,1
negative_control,0,7,0,0,5,0,0,10,0,2
negative_control,0,7,0,0,1,4,0,0,0,3
negative_control,0,7,0,0,0,2,0,0,10,4
negative_control,0,7,0,0,10,0,0,0,9,5
negative_control,0,7,0,0,0,10,6,0,0,5
negative_control,0,7,0,0,9,0,7,0,0,9
negative_control,0,7,0,0,0,0,0,9,2,10
negative_control,0,7,0,0,3,0,5,0,1,0
negative_control,0,7,0,0,4,10,0,0,3,0
negative_control,0,7,0,0,9,0,0,2,5,0
negative_control,0,7,0,0,0,3,9,0,6,0
negative_control,0,7,0,0,0,7,0,5,8,0
negative_control,0,7,0,0,0,0,2,10,10,0
negative_control,0,7,0,0,0,2,3,7,0,0
negative_control,0,7,0,0,2,3,0,8,0,0
negative_control,0,7,0,0,8,6,2,0,0,0
negative_control,0,0,2,5,0,0,7,0,0,9
negative_control,0,0,2,5,0,0,0,2,5,0
negative_control,7,0,0,1,0,0,6,0,0,5
negative_control,0,4,6,0,5,0,0,0,3,0
negative_control,0,3,0,7,10,0,0,0,3,0
negative_control,0,3,0,7,0,0,1,4,0,0
negative_control,1,0,5,10,0,0,0,0,3,0
negative_control,3,1,2,0,0,0,0,0,3,0
negative_control,0,5,1,4,0,0,0,0,3,0
negative_control,4,0,8,0,0,4,0,8,0,0
negative_control,10,5,0,0,0,5,0,0,0,3
negative_control,0,0,4,6,0,5,0,0,0,3
negative_control,9,3,0,0,0,0,5,0,0,1
negative_control,9,3,0,0,0,5,0,8,0,0
negative_control,1,0,7,0,0,0,0,4,0,7
negative_control,0,0,6,7,0,1,0,0,3,0
negative_control,3,0,0,9,0,0,0,7,10,0
negative_control,0,6,0,10,0,0,4,0,0,8
negative_control,0,6,0,10,0,2,0,0,3,0
negative_control,9,0,6,0,0,7,0,0,0,3
negative_control,9,0,6,0,0,0,7,2,0,0
negative_control,0,9,7,0,0,0,0,1,0,4
negative_control,0,9,7,0,0,9,2,0,0,0
negative_control,0,6,2,0,0,0,7,0,9,0
negative_control,6,0,5,0,0,0,3,0,0,4
negative_control,7,10,0,0,0,3,0,0,3,0
negative_control,1,0,0,2,0,7,0,8,0,0
negative_control,0,0,10,9,0,0,10,1,0,0
negative_control,3,0,4,0,8,0,2,0,0,0
negative_control,10,0,0,6,0,0,0,6,0,9
negative_control,10,0,0,6,9,0,2,0,0,0
negative_control,2,0,3,7,0,0,2,0,0,0
negative_control,4,1,0,8,0,0,2,0,0,0
negative_control,10,4,2,0,0,0,2,0,0,0
negative_control,0,10,6,6,0,0,2,0,0,0
negative_control,0,3,8,0,2,0,2,0,0,0
negative_control,0,9,0,2,5,0,2,0,0,0
negative_control,0,0,1,10,0,0,0,0,1,2
negative_control,0,0,1,10,0,8,0,8,0,0
negative_control,0,0,1,10,6,0,2,0,0,0
negative_control,0,5,0,9,0,1,2,0,0,0
negative_control,8,0,0,10,0,0,0,0,6,8
negative_control,5,6,0,0,0,0,5,10,0,0
negative_control,0,0,3,0,0,0,6,7,0,1
negative_control,0,0,3,0,0,6,0,10,0,2
negative_control,0,0,3,0,7,10,0,0,0,3
negative_control,0,0,3,0,0,0,3,0,10,5
negative_control,0,0,3,0,0,8,9,0,0,6
negative_control,0,0,3,0,6,0,0,3,0,6
negative_control,0,0,3,0,5,0,1,0,0,7
negative_control,0,0,3,0,2,0,0,0,6,8
negative_control,0,0,3,0,0,0,0,4,9,9
negative_control,0,0,3,0,0,7,0,0,4,10
negative_control,0,0,3,0,4,0,8,0,2,0
negative_control,0,0,3,0,0,0,4,6,3,0
negative_control,0,0,3,0,10,5,0,0,3,0
negative_control,0,0,3,0,7,0,0,1,4,0
negative_control,0,0,3,0,0,4,6,0,5,0
negative_control,0,0,3,0,0,5,1,4,0,0
negative_control,0,0,3,0,8,9,0,8,0,0
negative_control,0,0,3,0,1,0,5,10,0,0
negative_control,0,0,3,0,3,1,2,0,0,0
negative_control,4,4,0,0,5,0,0,0,0,3
negative_control,6,0,0,3,8,0,0,0,0,3
negative_control,6,0,0,3,0,6,0,0,3,0
negative_control,6,0,0,3,0,0,8,9,0,0
negative_control,0,8,9,0,8,0,0,0,0,3
negative_control,0,8,9,0,0,6,0,0,3,0
negative_control,0,8,9,0,0,0,8,9,0,0
negative_control,0,1,0,5,10,0,0,0,0,3
negative_control,0,1,0,5,0,10,0,8,0,0
negative_control,8,7,0,6,0,0,0,0,0,3
negative_control,5,0,10,10,0,0,0,0,0,3
