,rmse
"(13, 2)",43.88387813856334
"(14, 1)",42.73224501709414
"(14, 2)",29.897169375460837
"(15, 1)",38.997319263546906
"(15, 2)",38.1245629964242
"(16, 1)",57.95872213755309
"(16, 2)",55.72746931596314
"(17, 1)",31.024575069880818
"(17, 2)",28.128476814012153
"(18, 1)",32.60300665878923
"(18, 2)",41.579482891036484
"(19, 1)",37.12024674151528
"(19, 2)",35.84463514176342
"(20, 1)",42.02084136706738
"(20, 2)",38.808484083752155
"(21, 1)",50.12255422801046
"(21, 2)",42.08789906314099
"(22, 1)",34.64108684347512
"(22, 2)",28.10932950525555
"(23, 1)",53.612231404788204
"(23, 2)",44.89795238668915
"(24, 1)",45.421631607580686
"(24, 2)",32.10806445004026
"(25, 1)",41.404773966942145
"(25, 2)",34.60620305186403
"(26, 1)",52.095777391857645
"(26, 2)",37.2667968172765
"(27, 1)",40.85462880706493
"(27, 2)",30.470884729393973
"(28, 1)",36.74670738337566
"(28, 2)",31.891576548605684
"(29, 1)",39.82155567471586
"(29, 2)",36.21148448622438
"(30, 1)",49.13525535074265
"(30, 2)",45.59726320174025
"(31, 1)",39.41598478389382
"(31, 2)",36.13661246869716
"(32, 1)",39.604179706037826
"(32, 2)",37.78164596640684
"(33, 1)",40.66465899507011
"(34, 1)",44.811254295229666
0,108.64097720845466
1,103.35544346208411
2,80.71398391078196
3,40.794145622323896
4,89.50132620155365
5,105.68167621418785
6,43.87189742731917
7,42.53611383734751
8,51.87449100496299
9,42.31519437964826
10,43.9952994572158
11,34.86254824968686
12,28.457646182526858
13,51.18934220051014
14,52.008540907190124
15,34.16889542181872
16,51.746044037718406
17,54.48594977986905
18,37.79960662024214
19,29.75213158635365
20,32.66834032291765
21,36.20424801598932
22,31.62725360343753
23,34.23752853627772
24,26.968165844646336
25,32.78220473607958
26,35.60156879733034
27,43.57588078587965
28,31.671429373430023
29,29.355993481370415
30,31.199584320745227
31,32.99446201663535
32,29.912223543933028
33,36.191063662777715
"(1, 1)",55.01694301540935
"(1, 2)",32.69249997957923
"(2, 1)",35.40331410433052
"(2, 2)",54.15309872582456
"(3, 1)",30.076673104551247
"(3, 2)",49.24617519003018
"(4, 1)",26.74013598440376
"(4, 2)",37.51165836406424
"(5, 1)",29.504397562125373
"(5, 2)",61.27045477718313
"(6, 1)",29.00409286041449
"(6, 2)",63.332102058630475
"(7, 1)",29.435777637325497
"(7, 2)",53.00563621654192
"(8, 1)",24.48633083443381
"(8, 2)",25.575453742859374
"(9, 1)",34.38681865067835
"(9, 2)",29.88488570929312
"(10, 1)",30.917378925935026
"(10, 2)",65.023152458286
"(11, 1)",28.835795382943402
"(11, 2)",26.289709988103045
"(12, 1)",25.790680131283438
"(12, 2)",31.22361326733668
"(13, 1)",25.723175793149657
"(13, 2)",39.89707342558213
"(14, 1)",27.653874907462768
"(14, 2)",54.535122738736625
"(15, 1)",27.310166602314172
"(15, 2)",48.319613524615555
"(16, 1)",23.803915391706308
"(16, 2)",37.87291551481504
"(17, 1)",24.249747853640272
"(17, 2)",47.90600586863648
"(18, 1)",24.7607070063235
"(18, 2)",27.588381468893612
"(19, 1)",27.998876066059186
"(19, 2)",47.95229325428399
"(20, 1)",26.546234616581973
"(20, 2)",53.68126851542153
"(21, 1)",22.922593076087246
"(21, 2)",53.0537315736551
"(22, 1)",25.071661742064308
"(22, 2)",28.788064560314456
"(23, 1)",23.156474029157128
"(23, 2)",29.917162906140728
"(24, 1)",23.20338540721867
"(24, 2)",32.57470451922071
"(25, 1)",23.568989063545704
"(25, 2)",53.1077076169314
"(26, 1)",23.504482757333438
"(26, 2)",45.22504496450445
"(27, 1)",25.190176387238292
"(27, 2)",42.12701038793916
"(28, 1)",25.185942740109176
"(28, 2)",37.87107047589243
"(29, 1)",24.672538066630395
"(29, 2)",34.22558546777956
"(30, 1)",23.91118306526899
"(30, 2)",33.68439806808016
"(31, 1)",24.860700257201188
"(31, 2)",34.88798533408511
"(32, 1)",24.415354060612586
"(32, 2)",35.83013574517885
"(33, 1)",25.572367240142487
"(34, 1)",27.370758604195856
0,37.12601761030171
1,34.00530251603228
2,28.545115364682985
3,24.394066987140867
4,34.037956224991014
5,37.140792537485126
6,35.240670431359504
7,26.15554429197712
8,37.10844214779195
9,41.34609053837443
10,24.802141322665445
11,29.64996464771647
12,22.82928175319694
13,29.044613357202973
14,21.93846388766691
15,19.48050128108995
16,32.552942712380734
17,29.883375515546298
18,35.97756601518886
19,28.508702266310564
20,28.147368502505568
21,27.175085284661122
22,24.754367896852326
23,27.602953373596495
24,22.456370086739458
25,17.673610000636888
26,26.685370237102312
27,25.875526473583772
28,18.368243674826978
29,22.673540217386176
30,21.385585263155996
31,21.975917577635332
32,25.354512826624283
33,26.729164777184135
"(1, 1)",101.48549830017198
"(1, 2)",81.7291961420085
"(2, 1)",96.11247225416923
"(2, 2)",94.53074740687956
"(3, 1)",94.94267966153228
"(3, 2)",79.944187689483
"(4, 1)",101.90505010979928
"(4, 2)",68.81418147612153
"(5, 1)",99.06848504320524
"(5, 2)",69.55192756607796
"(6, 1)",100.49117412371614
"(6, 2)",64.69534510897273
"(7, 1)",106.82869533710155
"(7, 2)",44.01420627572584
"(8, 1)",58.54813011097611
"(8, 2)",66.6538838641465
"(9, 1)",97.86316391349709
"(9, 2)",57.814921374999216
"(10, 1)",100.32084000354712
"(10, 2)",69.18761623117447
"(11, 1)",61.26700766013043
"(11, 2)",67.4625935259293
"(12, 1)",59.57103466883973
"(12, 2)",48.964320205040266
"(13, 1)",80.76847642758591
"(13, 2)",56.095965427667174
"(14, 1)",91.12743341336873
"(14, 2)",59.200474352593005
"(15, 1)",94.94762012311892
"(15, 2)",66.08450307108917
"(16, 1)",97.55354530541591
"(16, 2)",61.67897986843485
"(17, 1)",101.93241150030126
"(17, 2)",56.60568069182919
"(18, 1)",103.9518007460318
"(18, 2)",62.34232885411709
"(19, 1)",104.52934326864946
"(19, 2)",60.3723047682519
"(20, 1)",100.58296114498833
"(20, 2)",60.30199976628136
"(21, 1)",88.83090116871873
"(21, 2)",60.34041772548598
"(22, 1)",98.58942501181522
"(22, 2)",56.25446874761433
"(23, 1)",102.71719742588783
"(23, 2)",51.79153010565504
"(24, 1)",101.43263874694844
"(24, 2)",52.35766445989551
"(25, 1)",100.36638593931326
"(25, 2)",66.23075088275405
"(26, 1)",92.91113094869978
"(26, 2)",59.163277514564165
"(27, 1)",93.15432920626323
"(27, 2)",29.182420760864435
"(28, 1)",62.42337622672563
"(28, 2)",32.75846362085424
"(29, 1)",96.68563882665174
"(29, 2)",62.2344250103585
"(30, 1)",93.65835831203927
"(30, 2)",62.78881217720092
"(31, 1)",97.82852064365072
"(31, 2)",59.934474839070496
