,Unnamed: 0.1,Unnamed: 0,pos,cell,ch,lvf,zvf,lwvf,svf,dr,n_barcodes,negative_control_barcodes,gene_encoding_barcodes,est_fp_rate,est_fdr,z
0,0,0,1.0,6.0,,2.0,1.0,0.0,0.0,0.0,421.0,144,421.0,0.0,0.0506799271177349,0
1,0,0,1.0,7.0,,2.0,1.0,0.0,0.0,0.0,128.0,17,128.0,0.0,0.0196786153635866,0
2,0,0,1.0,8.0,,2.0,1.0,0.0,0.0,0.0,39.0,11,39.0,0.0,0.0417910866243288,0
3,0,0,1.0,10.0,,2.0,1.0,0.0,0.0,0.0,151.0,36,151.0,0.0,0.0353249160870305,0
4,0,0,1.0,11.0,,2.0,1.0,0.0,0.0,0.0,985.0,231,985.0,0.0,0.0347481217719038,0
5,0,0,1.0,12.0,,2.0,1.0,0.0,0.0,0.0,133.0,18,133.0,0.0,0.0200528658990285,0
6,0,0,1.0,13.0,,2.0,1.0,0.0,0.0,0.0,300.0,57,300.0,0.0,0.0281519956260251,0
7,0,0,1.0,14.0,,2.0,1.0,0.0,0.0,0.0,539.0,190,539.0,0.0,0.0522300475436459,0
8,0,0,1.0,15.0,,2.0,1.0,0.0,0.0,0.0,906.0,306,906.0,0.0,0.0500436311232932,0
9,0,0,1.0,16.0,,2.0,1.0,0.0,0.0,0.0,733.0,285,733.0,0.0,0.0576098136958222,0
10,0,0,1.0,17.0,,2.0,1.0,0.0,0.0,0.0,8.0,3,8.0,0.0,0.0555631492618917,0
11,0,0,1.0,19.0,,2.0,1.0,0.0,0.0,0.0,5.0,0,5.0,0.0,0.0,0
12,0,0,1.0,20.0,,2.0,1.0,0.0,0.0,0.0,43.0,16,43.0,0.0,0.0551324271745902,0
13,0,0,1.0,21.0,,2.0,1.0,0.0,0.0,0.0,756.0,289,756.0,0.0,0.0566410939565669,0
14,0,0,1.0,22.0,,2.0,1.0,0.0,0.0,0.0,232.0,53,232.0,0.0,0.0338488150675892,0
15,0,0,1.0,23.0,,2.0,1.0,0.0,0.0,0.0,116.0,38,116.0,0.0,0.0485379234931468,0
16,0,0,1.0,24.0,,2.0,1.0,0.0,0.0,0.0,873.0,442,873.0,0.0,0.0750176768957805,0
17,0,0,1.0,25.0,,2.0,1.0,0.0,0.0,0.0,898.0,339,898.0,0.0,0.0559343952480513,0
18,0,0,1.0,27.0,,2.0,1.0,0.0,0.0,0.0,775.0,250,775.0,0.0,0.0477962574295842,0
19,0,0,1.0,29.0,,2.0,1.0,0.0,0.0,0.0,85.0,29,85.0,0.0,0.050551571093172,0
20,0,0,1.0,30.0,,2.0,1.0,0.0,0.0,0.0,17.0,5,17.0,0.0,0.0435789405975621,0
21,0,0,1.0,31.0,,2.0,1.0,0.0,0.0,0.0,121.0,66,121.0,0.0,0.0808191261991152,0
22,0,0,1.0,32.0,,2.0,1.0,0.0,0.0,0.0,8.0,2,8.0,0.0,0.0370420995079278,0
23,0,0,1.0,33.0,,2.0,1.0,0.0,0.0,0.0,6.0,4,6.0,0.0,0.0987789320211408,0
24,0,0,1.0,34.0,,2.0,1.0,0.0,0.0,0.0,1914.0,1039,1914.0,0.0,0.0804320614184681,0
25,0,0,1.0,35.0,,2.0,1.0,0.0,0.0,0.0,534.0,151,534.0,0.0,0.0418978054359333,0
26,0,0,1.0,36.0,,2.0,1.0,0.0,0.0,0.0,81.0,40,81.0,0.0,0.0731695792749191,0
27,0,0,1.0,37.0,,2.0,1.0,0.0,0.0,0.0,134.0,49,134.0,0.0,0.0541809813698048,0
28,0,0,1.0,38.0,,2.0,1.0,0.0,0.0,0.0,435.0,176,435.0,0.0,0.0599485932266234,0
29,0,0,1.0,41.0,,2.0,1.0,0.0,0.0,0.0,6.0,3,6.0,0.0,0.0740841990158556,0
30,0,0,1.0,42.0,,2.0,1.0,0.0,0.0,0.0,60.0,29,60.0,0.0,0.0716147257153271,0
31,0,0,1.0,43.0,,2.0,1.0,0.0,0.0,0.0,8.0,1,8.0,0.0,0.0185210497539639,0
32,0,0,1.0,44.0,,2.0,1.0,0.0,0.0,0.0,999.0,505,999.0,0.0,0.0748999409469611,0
33,0,0,1.0,46.0,,2.0,1.0,0.0,0.0,0.0,85.0,39,85.0,0.0,0.0679831473321969,0
34,0,0,1.0,47.0,,2.0,1.0,0.0,0.0,0.0,963.0,570,963.0,0.0,0.0877009209533493,0
35,0,0,1.0,48.0,,2.0,1.0,0.0,0.0,0.0,320.0,115,320.0,0.0,0.0532480180426462,0
36,0,0,1.0,49.0,,2.0,1.0,0.0,0.0,0.0,106.0,70,106.0,0.0,0.0978470553039603,0
37,0,0,1.0,50.0,,2.0,1.0,0.0,0.0,0.0,270.0,137,270.0,0.0,0.0751817427049794,0
38,0,0,1.0,51.0,,2.0,1.0,0.0,0.0,0.0,49.0,19,49.0,0.0,0.0574530522980105,0
39,0,0,1.0,52.0,,2.0,1.0,0.0,0.0,0.0,278.0,95,278.0,0.0,0.0506330856583186,0
40,0,0,1.0,54.0,,2.0,1.0,0.0,0.0,0.0,31.0,28,31.0,0.0,0.133829520802836,0
41,0,0,1.0,55.0,,2.0,1.0,0.0,0.0,0.0,393.0,215,393.0,0.0,0.0810590472692568,0
42,0,0,1.0,56.0,,2.0,1.0,0.0,0.0,0.0,963.0,561,963.0,0.0,0.0863161695698754,0
43,0,0,,,,,,,,,,3,,,0.0,0
44,0,0,1.0,58.0,,2.0,1.0,0.0,0.0,0.0,76.0,28,76.0,0.0,0.0545883571695778,0
