,Unnamed: 0.1,Unnamed: 0,pos,cell,ch,lvf,zvf,lwvf,svf,dr,n_barcodes,negative_control_barcodes,gene_encoding_barcodes,est_fp_rate,est_fdr,z
126,0,0,6.0,159.0,,5.0,1.0,2.0,0.0,0.0,157.0,24,157.0,0.0,0.0226499461959303,3
127,0,0,6.0,160.0,,5.0,1.0,2.0,0.0,0.0,61.0,8,61.0,0.0,0.0194319210533391,3
128,0,0,6.0,161.0,,5.0,1.0,2.0,0.0,0.0,74.0,25,74.0,0.0,0.0500568912269294,3
129,0,0,6.0,163.0,,5.0,1.0,2.0,0.0,0.0,446.0,72,446.0,0.0,0.0239195620140879,3
130,0,0,6.0,164.0,,5.0,1.0,2.0,0.0,0.0,53.0,14,53.0,0.0,0.0391388221215841,3
131,0,0,6.0,165.0,,5.0,1.0,2.0,0.0,0.0,37.0,14,37.0,0.0,0.056063718174161,3
132,0,0,6.0,166.0,,5.0,1.0,2.0,0.0,0.0,63.0,10,63.0,0.0,0.0235187933383668,3
133,0,0,6.0,167.0,,5.0,1.0,2.0,0.0,0.0,12.0,3,12.0,0.0,0.0370420995079278,3
134,0,0,6.0,173.0,,5.0,1.0,2.0,0.0,0.0,3.0,1,3.0,0.0,0.0493894660105704,3
0,0,0,6.0,4.0,,5.0,1.0,2.0,0.0,0.0,28.0,0,28.0,0.0,0.0,4
1,0,0,6.0,5.0,,5.0,1.0,2.0,0.0,0.0,60.0,3,60.0,0.0,0.0074084199015855,4
2,0,0,6.0,6.0,,5.0,1.0,2.0,0.0,0.0,377.0,45,377.0,0.0,0.017685883054183,4
3,0,0,6.0,9.0,,5.0,1.0,2.0,0.0,0.0,55.0,10,55.0,0.0,0.0269397087330384,4
4,0,0,6.0,10.0,,5.0,1.0,2.0,0.0,0.0,728.0,99,728.0,0.0,0.0201492739081585,4
5,0,0,6.0,11.0,,5.0,1.0,2.0,0.0,0.0,81.0,9,81.0,0.0,0.0164631553368568,4
6,0,0,6.0,12.0,,5.0,1.0,2.0,0.0,0.0,531.0,87,531.0,0.0,0.0242761782085854,4
7,0,0,6.0,13.0,,5.0,1.0,2.0,0.0,0.0,117.0,9,117.0,0.0,0.0113975690793624,4
8,0,0,6.0,14.0,,5.0,1.0,2.0,0.0,0.0,97.0,0,97.0,0.0,0.0,4
9,0,0,6.0,17.0,,5.0,1.0,2.0,0.0,0.0,50.0,19,50.0,0.0,0.0563039912520503,4
10,0,0,6.0,19.0,,5.0,1.0,2.0,0.0,0.0,418.0,45,418.0,0.0,0.0159511433287727,4
11,0,0,6.0,20.0,,5.0,1.0,2.0,0.0,0.0,455.0,37,455.0,0.0,0.0120488587410402,4
12,0,0,6.0,23.0,,5.0,1.0,2.0,0.0,0.0,347.0,35,347.0,0.0,0.0149449392827374,4
13,0,0,6.0,24.0,,5.0,1.0,2.0,0.0,0.0,7.0,4,7.0,0.0,0.0846676560181207,4
14,0,0,6.0,25.0,,5.0,1.0,2.0,0.0,0.0,610.0,81,610.0,0.0,0.0196748200665059,4
15,0,0,6.0,27.0,,5.0,1.0,2.0,0.0,0.0,1207.0,206,1207.0,0.0,0.0252880613045008,4
16,0,0,6.0,28.0,,5.0,1.0,2.0,0.0,0.0,470.0,57,470.0,0.0,0.0179693589102288,4
17,0,0,6.0,30.0,,5.0,1.0,2.0,0.0,0.0,139.0,21,139.0,0.0,0.0223851536594671,4
18,0,0,6.0,31.0,,5.0,1.0,2.0,0.0,0.0,47.0,8,47.0,0.0,0.0252201528564614,4
19,0,0,6.0,33.0,,5.0,1.0,2.0,0.0,0.0,1031.0,150,1031.0,0.0,0.0215569929241093,4
20,0,0,6.0,35.0,,5.0,1.0,2.0,0.0,0.0,64.0,14,64.0,0.0,0.0324118370694368,4
21,0,0,6.0,37.0,,5.0,1.0,2.0,0.0,0.0,127.0,17,127.0,0.0,0.019833565090859,4
22,0,0,6.0,38.0,,5.0,1.0,2.0,0.0,0.0,462.0,89,462.0,0.0,0.0285432628242907,4
23,0,0,6.0,39.0,,5.0,1.0,2.0,0.0,0.0,280.0,37,280.0,0.0,0.0195793954541904,4
24,0,0,6.0,40.0,,5.0,1.0,2.0,0.0,0.0,11.0,3,11.0,0.0,0.0404095630995576,4
25,0,0,6.0,42.0,,5.0,1.0,2.0,0.0,0.0,28.0,1,28.0,0.0,0.0052917285011325,4
26,0,0,6.0,43.0,,5.0,1.0,2.0,0.0,0.0,1445.0,263,1445.0,0.0,0.026967673828609,4
27,0,0,6.0,46.0,,5.0,1.0,2.0,0.0,0.0,806.0,108,806.0,0.0,0.0198538300092119,4
28,0,0,6.0,49.0,,5.0,1.0,2.0,0.0,0.0,127.0,18,127.0,0.0,0.0210002453903212,4
29,0,0,6.0,52.0,,5.0,1.0,2.0,0.0,0.0,98.0,7,98.0,0.0,0.010583457002265,4
30,0,0,6.0,53.0,,5.0,1.0,2.0,0.0,0.0,74.0,9,74.0,0.0,0.0180204808416946,4
31,0,0,6.0,54.0,,5.0,1.0,2.0,0.0,0.0,211.0,17,211.0,0.0,0.011937738230043,4
32,0,0,6.0,57.0,,5.0,1.0,2.0,0.0,0.0,444.0,36,444.0,0.0,0.012013653894463,4
33,0,0,6.0,58.0,,5.0,1.0,2.0,0.0,0.0,797.0,121,797.0,0.0,0.0224948257990427,4
34,0,0,6.0,59.0,,5.0,1.0,2.0,0.0,0.0,750.0,99,750.0,0.0,0.0195582285401858,4
35,0,0,6.0,60.0,,5.0,1.0,2.0,0.0,0.0,1.0,0,1.0,0.0,0.0,4
36,0,0,6.0,61.0,,5.0,1.0,2.0,0.0,0.0,48.0,5,48.0,0.0,0.0154342081283032,4
37,0,0,6.0,62.0,,5.0,1.0,2.0,0.0,0.0,69.0,13,69.0,0.0,0.0279157851364093,4
38,0,0,6.0,64.0,,5.0,1.0,2.0,0.0,0.0,138.0,32,138.0,0.0,0.0343578893986576,4
39,0,0,6.0,65.0,,5.0,1.0,2.0,0.0,0.0,4.0,2,4.0,0.0,0.0740841990158556,4
40,0,0,6.0,67.0,,5.0,1.0,2.0,0.0,0.0,105.0,19,105.0,0.0,0.0268114244057382,4
41,0,0,6.0,70.0,,5.0,1.0,2.0,0.0,0.0,727.0,128,727.0,0.0,0.0260874208363948,4
